Value,Jahr,Primärenergieträger,Einheit
19260,1932,Holz und Holzkohle,In TJ
13.4788998530338,1932,Holz und Holzkohle,Anteil in %
17110,1932,Wasserkraft,In TJ
11.97424592343761,1932,Wasserkraft,Anteil in %
"""...""",1932,Müll und Industrieabfälle,In TJ
"""...""",1932,Müll und Industrieabfälle,Anteil in %
95580,1932,Kohle,In TJ
66.89061515851354,1932,Kohle,Anteil in %
14280,1932,Rohöl und Erdölprodukte,In TJ
9.993701448666807,1932,Rohöl und Erdölprodukte,Anteil in %
"""...""",1932,Gas,In TJ
"""...""",1932,Gas,Anteil in %
"""...""",1932,Kernbrennstoffe,In TJ
"""...""",1932,Kernbrennstoffe,Anteil in %
"""...""",1932,Übrige erneuerbare Energien,In TJ
"""...""",1932,Übrige erneuerbare Energien,Anteil in %
146230,1932,Gesamter Energieeinsatz,In TJ
102.3374623836518,1932,Gesamter Energieeinsatz,Anteil in %
-3340,1932,Elektrizität Import / Export-Saldo,In TJ
-2.33746238365176,1932,Elektrizität Import / Export-Saldo,Anteil in %
142890,1932,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1932,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
19000,1933,Holz und Holzkohle,In TJ
13.59473382942187,1933,Holz und Holzkohle,Anteil in %
18020,1933,Wasserkraft,In TJ
12.89353176874642,1933,Wasserkraft,Anteil in %
"""...""",1933,Müll und Industrieabfälle,In TJ
"""...""",1933,Müll und Industrieabfälle,Anteil in %
91430,1933,Kohle,In TJ
65.41929021179165,1933,Kohle,Anteil in %
14850,1933,Rohöl und Erdölprodukte,In TJ
10.62535775615341,1933,Rohöl und Erdölprodukte,Anteil in %
"""...""",1933,Gas,In TJ
"""...""",1933,Gas,Anteil in %
"""...""",1933,Kernbrennstoffe,In TJ
"""...""",1933,Kernbrennstoffe,Anteil in %
"""...""",1933,Übrige erneuerbare Energien,In TJ
"""...""",1933,Übrige erneuerbare Energien,Anteil in %
143300,1933,Gesamter Energieeinsatz,In TJ
102.5329135661133,1933,Gesamter Energieeinsatz,Anteil in %
-3540,1933,Elektrizität Import / Export-Saldo,In TJ
-2.532913566113337,1933,Elektrizität Import / Export-Saldo,Anteil in %
