Wert,Jahr,Energietyp,Aus-/ Einfuhr
0,2000,Holz und Holzkohle (TJ),Saldo
12388,2000,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
668,2000,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
11720,2000,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
285,2000,Kohle (in 1000 t),Einfuhr
0,2000,Kohle (in 1000 t),Ausfuhr
285,2000,Kohle (in 1000 t),Saldo
101880,2000,Gas (TJ),Einfuhr
0,2000,Gas (TJ),Ausfuhr
101880,2000,Gas (TJ),Saldo
0,2000,Biotreibstoffe (TJ),Einfuhr
"""...""",2000,Biotreibstoffe (TJ),Ausfuhr
"""...""",2000,Biotreibstoffe (TJ),Saldo
39920,2000,Elektrizität (GWh),Einfuhr
46990,2000,Elektrizität (GWh),Ausfuhr
-7070,2000,Elektrizität (GWh),Saldo
420,2001,Holz und Holzkohle (TJ),Einfuhr
380,2001,Holz und Holzkohle (TJ),Ausfuhr
40,2001,Holz und Holzkohle (TJ),Saldo
13731,2001,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
590,2001,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
13141,2001,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
195,2001,Kohle (in 1000 t),Einfuhr
1,2001,Kohle (in 1000 t),Ausfuhr
194,2001,Kohle (in 1000 t),Saldo
106040,2001,Gas (TJ),Einfuhr
0,2001,Gas (TJ),Ausfuhr
106040,2001,Gas (TJ),Saldo
0,2001,Biotreibstoffe (TJ),Einfuhr
"""...""",2001,Biotreibstoffe (TJ),Ausfuhr
"""...""",2001,Biotreibstoffe (TJ),Saldo
57963,2001,Elektrizität (GWh),Einfuhr
68407,2001,Elektrizität (GWh),Ausfuhr
-10444,2001,Elektrizität (GWh),Saldo
390,2002,Holz und Holzkohle (TJ),Einfuhr
300,2002,Holz und Holzkohle (TJ),Ausfuhr
90,2002,Holz und Holzkohle (TJ),Saldo
13174,2002,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
645,2002,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
12529,2002,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
159,2002,Kohle (in 1000 t),Einfuhr
0,2002,Kohle (in 1000 t),Ausfuhr
159,2002,Kohle (in 1000 t),Saldo
104080,2002,Gas (TJ),Einfuhr
0,2002,Gas (TJ),Ausfuhr
104080,2002,Gas (TJ),Saldo
0,2002,Biotreibstoffe (TJ),Einfuhr
"""...""",2002,Biotreibstoffe (TJ),Ausfuhr
"""...""",2002,Biotreibstoffe (TJ),Saldo
47112,2002,Elektrizität (GWh),Einfuhr
51620,2002,Elektrizität (GWh),Ausfuhr
-4508,2002,Elektrizität (GWh),Saldo
360,2003,Holz und Holzkohle (TJ),Einfuhr
380,2003,Holz und Holzkohle (TJ),Ausfuhr
-20,2003,Holz und Holzkohle (TJ),Saldo
12659,2003,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
702,2003,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
11957,2003,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
116,2003,Kohle (in 1000 t),Einfuhr
0,2003,Kohle (in 1000 t),Ausfuhr
116,2003,Kohle (in 1000 t),Saldo
110010,2003,Gas (TJ),Einfuhr
0,2003,Gas (TJ),Ausfuhr
110010,2003,Gas (TJ),Saldo
0,2003,Biotreibstoffe (TJ),Einfuhr
"""...""",2003,Biotreibstoffe (TJ),Ausfuhr
"""...""",2003,Biotreibstoffe (TJ),Saldo
42352,2003,Elektrizität (GWh),Einfuhr
45464,2003,Elektrizität (GWh),Ausfuhr
-3112,2003,Elektrizität (GWh),Saldo
350,2004,Holz und Holzkohle (TJ),Einfuhr
450,2004,Holz und Holzkohle (TJ),Ausfuhr
-100,2004,Holz und Holzkohle (TJ),Saldo
12666,2004,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
650,2004,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
12016,2004,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
202,2004,Kohle (in 1000 t),Einfuhr
0,2004,Kohle (in 1000 t),Ausfuhr
202,2004,Kohle (in 1000 t),Saldo
113490,2004,Gas (TJ),Einfuhr
0,2004,Gas (TJ),Ausfuhr
113490,2004,Gas (TJ),Saldo
0,2004,Biotreibstoffe (TJ),Einfuhr
"""...""",2004,Biotreibstoffe (TJ),Ausfuhr
"""...""",2004,Biotreibstoffe (TJ),Saldo
37690,2004,Elektrizität (GWh),Einfuhr
38393,2004,Elektrizität (GWh),Ausfuhr
-703,2004,Elektrizität (GWh),Saldo
380,2005,Holz und Holzkohle (TJ),Einfuhr
410,2005,Holz und Holzkohle (TJ),Ausfuhr
-30,2005,Holz und Holzkohle (TJ),Saldo
12996,2005,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
539,2005,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
12457,2005,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
161,2005,Kohle (in 1000 t),Einfuhr
0,2005,Kohle (in 1000 t),Ausfuhr
161,2005,Kohle (in 1000 t),Saldo
116510,2005,Gas (TJ),Einfuhr
0,2005,Gas (TJ),Ausfuhr
116510,2005,Gas (TJ),Saldo
10,2005,Biotreibstoffe (TJ),Einfuhr
"""...""",2005,Biotreibstoffe (TJ),Ausfuhr
"""...""",2005,Biotreibstoffe (TJ),Saldo
47084,2005,Elektrizität (GWh),Einfuhr
40734,2005,Elektrizität (GWh),Ausfuhr
6350,2005,Elektrizität (GWh),Saldo
380,2006,Holz und Holzkohle (TJ),Einfuhr
380,2006,Holz und Holzkohle (TJ),Ausfuhr
0,2006,Holz und Holzkohle (TJ),Saldo
13248,2006,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
585,2006,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
12663,2006,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
268,2006,Kohle (in 1000 t),Einfuhr
9,2006,Kohle (in 1000 t),Ausfuhr
259,2006,Kohle (in 1000 t),Saldo
113290,2006,Gas (TJ),Einfuhr
0,2006,Gas (TJ),Ausfuhr
113290,2006,Gas (TJ),Saldo
0,2006,Biotreibstoffe (TJ),Einfuhr
"""...""",2006,Biotreibstoffe (TJ),Ausfuhr
