Wert,Jahr,Produktion und Eigenverbrauch
1923,2012,Treibstoffe (Total)
"""...""",2012,Superbenzin
1028,2012,Normalbenzin
38,2012,Flugpetrol
857,2012,Diesel
252,2012,Übrige energetische Produkte
127,2012,Nicht energetische Produkte
254,2012,Eigenverbrauch
3169,2012,Netto-Ausstoss
29.5,2012,Deckung des Bedarfs (%)
1724,2013,Heizöl (Total)
1359,2013,Heizöl extraleicht
"""...""",2013,Heizöl mittel
365,2013,Heizöl schwer
2660,2013,Treibstoffe (Total)
"""...""",2013,Superbenzin
1388,2013,Normalbenzin
38,2013,Flugpetrol
1234,2013,Diesel
386,2013,Übrige energetische Produkte
144,2013,Nicht energetische Produkte
307,2013,Eigenverbrauch
4607,2013,Netto-Ausstoss
42.2,2013,Deckung des Bedarfs (%)
1552,2014,Heizöl (Total)
1158,2014,Heizöl extraleicht
"""...""",2014,Heizöl mittel
394,2014,Heizöl schwer
2898,2014,Treibstoffe (Total)
"""...""",2014,Superbenzin
1421,2014,Normalbenzin
16,2014,Flugpetrol
1461,2014,Diesel
367,2014,Übrige energetische Produkte
124,2014,Nicht energetische Produkte
318,2014,Eigenverbrauch
4623,2014,Netto-Ausstoss
46.5,2014,Deckung des Bedarfs (%)
