Wert,Jahr,Primärenergieträger,Einheit
5170,1932,Erdölbrennstoffe,In TJ
3.840154497511699,1932,Erdölbrennstoffe,Anteil in %
8770,1932,Treibstoffe,In TJ
6.514149892297408,1932,Treibstoffe,Anteil in %
11550,1932,Elektrizität,In TJ
8.579068558270816,1932,Elektrizität,Anteil in %
3800,1932,Gas,In TJ
2.822550694496026,1932,Gas,Anteil in %
86080,1932,Kohle,In TJ
63.93820099532051,1932,Kohle,Anteil in %
19260,1932,Holz und Holzkohle,In TJ
14.30587536210354,1932,Holz und Holzkohle,Anteil in %
"""...""",1932,Fernwärme,In TJ
"""...""",1932,Fernwärme,Anteil in %
"""...""",1932,Abfälle,In TJ
"""...""",1932,Abfälle,Anteil in %
"""...""",1932,Übrige erneuerbare Energien,In TJ
"""...""",1932,Übrige erneuerbare Energien,Anteil in %
131020,1933,Primärenergieträger - Total,In TJ
100,1933,Primärenergieträger - Total,Anteil in %
6070,1933,Erdölbrennstoffe,In TJ
4.632880476263166,1933,Erdölbrennstoffe,Anteil in %
8470,1933,Treibstoffe,In TJ
6.464661883681881,1933,Treibstoffe,Anteil in %
12270,1933,Elektrizität,In TJ
9.364982445428179,1933,Elektrizität,Anteil in %
3820,1933,Gas,In TJ
2.915585406808121,1933,Gas,Anteil in %
81390,1933,Kohle,In TJ
62.12028697908716,1933,Kohle,Anteil in %
19000,1933,Holz und Holzkohle,In TJ
14.50160280873149,1933,Holz und Holzkohle,Anteil in %
"""...""",1933,Fernwärme,In TJ
"""...""",1933,Fernwärme,Anteil in %
"""...""",1933,Abfälle,In TJ
"""...""",1933,Abfälle,Anteil in %
"""...""",1933,Übrige erneuerbare Energien,In TJ
"""...""",1933,Übrige erneuerbare Energien,Anteil in %
132650,1934,Primärenergieträger - Total,In TJ
100,1934,Primärenergieträger - Total,Anteil in %
6430,1934,Erdölbrennstoffe,In TJ
4.847342630983792,1934,Erdölbrennstoffe,Anteil in %
9510,1934,Treibstoffe,In TJ
7.169242367131549,1934,Treibstoffe,Anteil in %
12800,1934,Elektrizität,In TJ
9.649453448925744,1934,Elektrizität,Anteil in %
3880,1934,Gas,In TJ
2.924990576705616,1934,Gas,Anteil in %
80970,1934,Kohle,In TJ
61.04033169996231,1934,Kohle,Anteil in %
19060,1934,Holz und Holzkohle,In TJ
14.36863927629099,1934,Holz und Holzkohle,Anteil in %
"""...""",1934,Fernwärme,In TJ
"""...""",1934,Fernwärme,Anteil in %
"""...""",1934,Abfälle,In TJ
"""...""",1934,Abfälle,Anteil in %
"""...""",1934,Übrige erneuerbare Energien,In TJ
"""...""",1934,Übrige erneuerbare Energien,Anteil in %
133080,1935,Primärenergieträger - Total,In TJ
100,1935,Primärenergieträger - Total,Anteil in %
6760,1935,Erdölbrennstoffe,In TJ
5.079651337541328,1935,Erdölbrennstoffe,Anteil in %
9290,1935,Treibstoffe,In TJ
6.980763450556056,1935,Treibstoffe,Anteil in %
13530,1935,Elektrizität,In TJ
10.1668169522092,1935,Elektrizität,Anteil in %
3870,1935,Gas,In TJ
2.908025247971145,1935,Gas,Anteil in %
79800,1935,Kohle,In TJ
59.96393146979261,1935,Kohle,Anteil in %
19830,1935,Holz und Holzkohle,In TJ
14.90081154192967,1935,Holz und Holzkohle,Anteil in %
"""...""",1935,Fernwärme,In TJ
"""...""",1935,Fernwärme,Anteil in %
"""...""",1935,Abfälle,In TJ
"""...""",1935,Abfälle,Anteil in %
"""...""",1935,Übrige erneuerbare Energien,In TJ
"""...""",1935,Übrige erneuerbare Energien,Anteil in %
133930,1936,Primärenergieträger - Total,In TJ
100,1936,Primärenergieträger - Total,Anteil in %
6970,1936,Erdölbrennstoffe,In TJ
5.204211155081013,1936,Erdölbrennstoffe,Anteil in %
8520,1936,Treibstoffe,In TJ
6.361532143657135,1936,Treibstoffe,Anteil in %
14460,1936,Elektrizität,In TJ
10.79668483536176,1936,Elektrizität,Anteil in %
3850,1936,Gas,In TJ
2.874636003882625,1936,Gas,Anteil in %
82030,1936,Kohle,In TJ
61.2484133502576,1936,Kohle,Anteil in %
18100,1936,Holz und Holzkohle,In TJ
13.51452251175988,1936,Holz und Holzkohle,Anteil in %
"""...""",1936,Fernwärme,In TJ
"""...""",1936,Fernwärme,Anteil in %
"""...""",1936,Abfälle,In TJ
"""...""",1936,Abfälle,Anteil in %
"""...""",1936,Übrige erneuerbare Energien,In TJ
"""...""",1936,Übrige erneuerbare Energien,Anteil in %
139230,1937,Primärenergieträger - Total,In TJ
100,1937,Primärenergieträger - Total,Anteil in %
6450,1937,Erdölbrennstoffe,In TJ
4.632622279681104,1937,Erdölbrennstoffe,Anteil in %
8660,1937,Treibstoffe,In TJ
6.219923866982691,1937,Treibstoffe,Anteil in %
16960,1937,Elektrizität,In TJ
12.18128276951806,1937,Elektrizität,Anteil in %
3920,1937,Gas,In TJ
2.815485168426345,1937,Gas,Anteil in %
85220,1937,Kohle,In TJ
